title,img,link
Micasa@Seoul: Home sweet home~~,https://a0.muscache.com/im/pictures/10ca2b94-d414-443e-aed4-24d19fe72fb6.jpg?im_w=720,https://www.airbnb.co.kr//rooms/5898559?previous_page_section_name=1000&federated_search_id=1ad2692a-e5c3-426b-97f7-d9784c096467
Micasa@Seoul:  Newly opened just for you!,https://a0.muscache.com/im/pictures/268ebc34-3902-4a5c-9a87-2c7d8453a663.jpg?im_w=720,https://www.airbnb.co.kr//rooms/38145044?previous_page_section_name=1000&federated_search_id=1ad2692a-e5c3-426b-97f7-d9784c096467
Micasa@Seoul: As good as it gets~~,https://a0.muscache.com/im/pictures/110638618/ecc9499e_original.jpg?im_w=720,https://www.airbnb.co.kr//rooms/5898549?previous_page_section_name=1000&federated_search_id=1ad2692a-e5c3-426b-97f7-d9784c096467
♥Fave501♥Helloworld Duplex Room★Newly open★,https://a0.muscache.com/im/pictures/845ad15f-c959-4dc3-9ebe-2432ed47a897.jpg?im_w=720,https://www.airbnb.co.kr//rooms/34334969?previous_page_section_name=1000&federated_search_id=1ad2692a-e5c3-426b-97f7-d9784c096467
"FreeWiFiEgg#StylishApt#HongdaeStn.3Mins,SuperClean",https://a0.muscache.com/im/pictures/b2b44414-3fb4-45a4-8641-b46ca7eb17f1.jpg?im_w=720,https://www.airbnb.co.kr//rooms/34907480?previous_page_section_name=1000&federated_search_id=1ad2692a-e5c3-426b-97f7-d9784c096467
"#FreeWiFiEgg# HongdaeStn.10Sec,E/V,Airy,SuperClean",https://a0.muscache.com/im/pictures/f3e4ef24-ef0c-4dd5-b590-f46016c156a4.jpg?im_w=720,https://www.airbnb.co.kr//rooms/35781575?previous_page_section_name=1000&federated_search_id=1ad2692a-e5c3-426b-97f7-d9784c096467
Newlyopen★★402 Seven house 역에서 단 5분거리!,https://a0.muscache.com/im/pictures/2279bb8c-0428-4340-bd3f-50f4e630e332.jpg?im_w=720,https://www.airbnb.co.kr//rooms/42137917?previous_page_section_name=1000&federated_search_id=1ad2692a-e5c3-426b-97f7-d9784c096467
2#Jade House-Hongik Station Exit no.6 walk 4min,https://a0.muscache.com/im/pictures/926bca75-4c46-43a9-a45c-d8f9a18b924d.jpg?im_w=720,https://www.airbnb.co.kr//rooms/29556662?previous_page_section_name=1000&federated_search_id=1ad2692a-e5c3-426b-97f7-d9784c096467
"편안하고 안락한 서교동, 마포구 숙소",https://a0.muscache.com/im/pictures/2f6ccfaa-b050-4a7f-875d-bc1c47d28967.jpg?im_w=720,https://www.airbnb.co.kr//rooms/43015738?previous_page_section_name=1000&federated_search_id=1ad2692a-e5c3-426b-97f7-d9784c096467
"깨끗하고 경치가 좋은 곳, 마포구 숙소",https://a0.muscache.com/im/pictures/c4fddc88-6d76-4495-87bf-72ce4b02348d.jpg?im_w=720,https://www.airbnb.co.kr//rooms/45536946?previous_page_section_name=1000&federated_search_id=1ad2692a-e5c3-426b-97f7-d9784c096467
quarantine 자가격리가능 홍대입구3번출구3분거리 Hongik station 弘大♡,https://a0.muscache.com/im/pictures/8f62b411-04ea-45d9-a6f2-c86c8f717866.jpg?im_w=720,https://www.airbnb.co.kr//rooms/31096292?previous_page_section_name=1000&federated_search_id=1ad2692a-e5c3-426b-97f7-d9784c096467
Kevin's home 3 (For one person.),https://a0.muscache.com/im/pictures/2afd6b49-159e-436b-893d-498bcaa4350e.jpg?im_w=720,https://www.airbnb.co.kr//rooms/20443501?previous_page_section_name=1000&federated_search_id=1ad2692a-e5c3-426b-97f7-d9784c096467
Newlyopen★105SweetCheese★역에서 단 3분거리!,https://a0.muscache.com/im/pictures/6c2c2c2d-d9a1-4a64-a31e-b4e2666c254f.jpg?im_w=720,https://www.airbnb.co.kr//rooms/29213312?previous_page_section_name=1000&federated_search_id=1ad2692a-e5c3-426b-97f7-d9784c096467
quarantine 자가격리가능! 홍대입구3번출구3분거리 Hongik station 弘大,https://a0.muscache.com/im/pictures/3bdd03d8-fca5-4d72-a61c-9c08d440034f.jpg?im_w=720,https://www.airbnb.co.kr//rooms/31098119?previous_page_section_name=1000&federated_search_id=1ad2692a-e5c3-426b-97f7-d9784c096467
★New Open★Hongik Univ Stn 3-5min!❤️연남하우스❤️#301,https://a0.muscache.com/im/pictures/a058ad64-4f72-42e0-8cfe-7507183d8fa0.jpg?im_w=720,https://www.airbnb.co.kr//rooms/38871224?previous_page_section_name=1000&federated_search_id=1ad2692a-e5c3-426b-97f7-d9784c096467
"편안하고 포근한 서교동, 마포구 숙소",https://a0.muscache.com/im/pictures/fb9592da-56ee-4979-b940-e883b9328617.jpg?im_w=720,https://www.airbnb.co.kr//rooms/47379659?previous_page_section_name=1000&federated_search_id=1ad2692a-e5c3-426b-97f7-d9784c096467
Spacious private room with a terrace,https://a0.muscache.com/im/pictures/545f1f83-d0c3-44be-921c-51c4ced10540.jpg?im_w=720,https://www.airbnb.co.kr//rooms/46093747?previous_page_section_name=1000&federated_search_id=1ad2692a-e5c3-426b-97f7-d9784c096467
Micasa@Seoul:  Make yourself at home^^,https://a0.muscache.com/im/pictures/54f6c611-285a-4b55-ae2f-d9a66666198f.jpg?im_w=720,https://www.airbnb.co.kr//rooms/22639713?previous_page_section_name=1000&federated_search_id=1ad2692a-e5c3-426b-97f7-d9784c096467
family36-자가격리가능,https://a0.muscache.com/im/pictures/miso/Hosting-46535302/original/f324c88e-3a4f-45a6-9355-b994f643ed97.jpeg?im_w=720,https://www.airbnb.co.kr//rooms/46535302?previous_page_section_name=1000&federated_search_id=1ad2692a-e5c3-426b-97f7-d9784c096467
"[STAY#4]Han-RiverVeiw,NETFLIX,Near Dangsan Station",https://a0.muscache.com/im/pictures/80042ea4-9249-4cf1-b9f0-068c30c24aa4.jpg?im_w=720,https://www.airbnb.co.kr//rooms/47794022?previous_page_section_name=1000&federated_search_id=1ad2692a-e5c3-426b-97f7-d9784c096467
Spacious private room with a terrace,https://a0.muscache.com/im/pictures/545f1f83-d0c3-44be-921c-51c4ced10540.jpg?im_w=720,https://www.airbnb.co.kr//rooms/46093747?previous_page_section_name=1000&federated_search_id=d59cc8fa-4f7d-472a-9357-3672d696e1fc
"[사슴, 한강뷰] 한강이 보이는 그린&그레이 톤의 방",https://a0.muscache.com/im/pictures/a7ee5abb-e6c0-4abe-beb9-ad63e2c43e38.jpg?im_w=720,https://www.airbnb.co.kr//rooms/26545398?previous_page_section_name=1000&federated_search_id=d59cc8fa-4f7d-472a-9357-3672d696e1fc
"편안하고 포근한 서교동, 마포구 숙소",https://a0.muscache.com/im/pictures/fb9592da-56ee-4979-b940-e883b9328617.jpg?im_w=720,https://www.airbnb.co.kr//rooms/47379659?previous_page_section_name=1000&federated_search_id=d59cc8fa-4f7d-472a-9357-3672d696e1fc
Newlyopen★105SweetCheese★역에서 단 3분거리!,https://a0.muscache.com/im/pictures/6c2c2c2d-d9a1-4a64-a31e-b4e2666c254f.jpg?im_w=720,https://www.airbnb.co.kr//rooms/29213312?previous_page_section_name=1000&federated_search_id=d59cc8fa-4f7d-472a-9357-3672d696e1fc
"서울 친구의 집
(a friend's house in Seoul.)",https://a0.muscache.com/im/pictures/24bd4a4e-5664-44e8-b461-7fa58ba38305.jpg?im_w=720,https://www.airbnb.co.kr//rooms/15515907?previous_page_section_name=1000&federated_search_id=d59cc8fa-4f7d-472a-9357-3672d696e1fc
망원역 도보3분거리/Clean and Cozy House #3,https://a0.muscache.com/im/pictures/d02c6dda-d43f-4a72-a370-f038baf26a28.jpg?im_w=720,https://www.airbnb.co.kr//rooms/40246962?previous_page_section_name=1000&federated_search_id=d59cc8fa-4f7d-472a-9357-3672d696e1fc
