title,company,location,link
Native Korean Speaking Software QA Test Engineer,"
TikTok",서울 종로3가역,https://kr.indeed.com/viewjob?jk=c0c6a53781018daf
2021년 (신입) 전문연구요원 모집,"
NHN",성남 판교역,https://kr.indeed.com/viewjob?jk=9acc17c535b42959
Internship Opportunity with Green Growth Performance Measurement,"
Global Green Growth Institute",대한민국,https://kr.indeed.com/viewjob?jk=c4df94a9f15d671b
데이터 분석가/사이언티스트(신입/인턴 가능),"
쏘카",대한민국,https://kr.indeed.com/viewjob?jk=55584c627df1acaa
콘텐츠서비스개발- 데이터엔지니어,"
Nexon",성남 분당구,https://kr.indeed.com/viewjob?jk=a4b72e38fb50bde0
Developers,"
Coinplug",경기도 성남,https://kr.indeed.com/viewjob?jk=9a9e91ae6092ed2d
"Application Engineer South Korea (Physics, EE)","
Zurich Instruments",대한민국,https://kr.indeed.com/viewjob?jk=444320d2e49672dc
[카카오커머스] 기술직군,"
카카오커머스",성남 분당구,https://kr.indeed.com/viewjob?jk=52f8fb3f7e662c5d
정보보안 담당자,"
Nexon",성남 분당구,https://kr.indeed.com/viewjob?jk=eeb9fe1c361f0758
[전문연구요원] 상시 (전직),"
네이버랩스",경기도,https://kr.indeed.com/viewjob?jk=14b591547a3b9df5
21년 전문연구요원 (AI엔지니어),"
Nexon",성남 분당구,https://kr.indeed.com/viewjob?jk=69ab0f58743cb713
시스템/서버 엔지니어 영입,"
카카오페이증권",성남 분당구,https://kr.indeed.com/viewjob?jk=a4789c5b4acf4353
머신러닝/딥러닝 연구 개발,"
NHN",성남 판교역,https://kr.indeed.com/viewjob?jk=7e5d96b07d5edef0
2021 토스 전 계열사 대규모,"
비바리퍼블리카",서울 강남구,https://kr.indeed.com/viewjob?jk=39e99c8ed1d40a8f
[전문연구요원] 빅데이터 엔지니어(신입/경력),"
웹젠",성남 분당구,https://kr.indeed.com/viewjob?jk=03452de7c4b35855
금융 AI 기술 연구 개발자 모집,"
엔씨소프트",성남 판교역,https://kr.indeed.com/viewjob?jk=e7346aa4ba6c1633
데이터 엔지니어 및 사이언티스트,"
카카오",성남 판교역,https://kr.indeed.com/viewjob?jk=d8a8869ab092f731
보안,"
NHN",성남 판교역,https://kr.indeed.com/viewjob?jk=810816c790317a08
Modem QA Contractor,"
聯發科技",경기도 성남,https://kr.indeed.com/viewjob?jk=bd5ce1a809ec610a
추천 시스템 소프트웨어 엔지니어,"
카카오",성남 판교역,https://kr.indeed.com/viewjob?jk=07375dc4e800dfa9
"Engr, Tech Supp 3","
KLA-Tencor",대한민국,https://kr.indeed.com/viewjob?jk=233bbfd9781e846d
테크니컬 오디오 디자이너(Technical Audio Designer) 채용,"
엔씨소프트",성남 판교역,https://kr.indeed.com/viewjob?jk=c58d20943e9dce58
(전액무료) 청년장애인 IT 인재육성 씨앗(SIAT) 교육 추가 / 교육부터 취업까지,"
중앙에이치티에이",성남 수정구,https://kr.indeed.com/viewjob?jk=e36b5d6e4b5e5a88
